title,caracteristicas_pelicula
...And God Created Woman,"Juliette Hardy is sexual dynamite, and has the men of a French coastal town panting. But Antoine, the only man who affects her likewise, wouldn't dream of settling down with a woman his friends consider the town tramp. 0 ...but the devil invented Brigitte Bardot! 6.2 43.0 Drama, Romance English, Français"
Easy Money,"To inherit his mother-in-law's colossal fortune, a hard living, gambling addict must change his unhealthy ways before it gets the best of him. 0 No cheating! No gambling! No booze! No smoking! No pizza! No nothin'! We are taking all the fun out of life... and putting it into a movie! 6.6 34.0 Comedy English"
Ilsa: She Wolf of the SS,"Ilsa is a warden at a Nazi death camp that conducts experiments on prisoners. Ilsa's goal is to prove that woman can withstand more pain and suffering than men and should be allowed to fight on the front lines 0 The most dreaded Nazi of them all! 5.1 48.0 Thriller, Horror, War English, Deutsch"
Silent Fall,"An autistic boy witnesses his parents' double murder. Richard Dreyfuss as a controversial therapist, seeks to probe the child's mind in order to solve the case. 30000000 A Savage Crime. A Silent Witness. 5.2 12.0 Drama, Thriller, Mystery English"
The Spiral Staircase,"In 1916, beautiful young mute Helen is a domestic worker for elderly, ailing Mrs. Warren. Mrs. Warren's two adult sons, Albert (a professor) and womanizing impudent Steven, also live in the Warren mansion. Mrs. Warren becomes concerned for Helen's safety when a rash of murders involving 'women with afflictions' hits the neighborhood. She implores her physician, Dr. Parry, to take Helen away for her own safety. When another murder occurs inside the Warren mansion, it becomes obvious that Helen is in danger. 0   6.6 46.0 Crime, Drama, Horror, Mystery, Thriller English"
What Ever Happened to Aunt Alice?,"As Aunt Alice, Ruth Gordon applies for the job of housekeeper in the Tucson, Arizona home of widow Claire Marrable in order to find out what happened to a missing widowed friend, Edna Tilsney. The crazed Page, left only a stamp album by her husband, takes money from her housekeepers, kills them, and buries the bodies in her garden. Alice is a widow too. So is neighbor Harriet Vaughn. Lots of widows here. 0 A horrific tale...with grave consequences! 5.2 5.0 Crime, Drama, Horror, Mystery, Thriller English, Deutsch"
Margaret Cho: I'm the One That I Want,"November, 1999, Margaret Cho is home in San Francisco at the Warfield Theater. Cho structures her monologue loosely on her professional life's trajectory: doing stand-up, cast in an ABC-TV sitcom, losing 30 pounds in two weeks for the part, the show's cancellation, a descent into booze, pills, and self-loathing, and a resurrection into her own voice, her own shape, and being the one she wants. 0   8.7 3.0 Comedy English"
The Tao of Steve,"Underachieving, overweight kindergarten teacher Dex finds a woman who forces him to reexamine his Zen-like system of seduction. 0 Why do women find this man irresistible? 5.9 27.0 Comedy, Romance English"
The Tic Code,"A 10 year old gifted boy wants to be a jazz pianist much to the chagrin of his more classical oriented piano instructor. With his mother's help, he is an underage regular at a local nightspot, where he is teamed up with a sax superstar. Both come to learn that each suffers from Tourette's Syndrome (thus the film title). The older man has developed mannerisms to cover up his own fallibilities and resents the boy and his mother's acceptance of the disease. 0   1.0 1.0  "
Aimee & Jaguar,"Berlin 1943/44 (""The Battle of Berlin""). Felice, an intelligent and courageous Jewish woman who lives under a false name, belongs to an underground organization. Lilly, a devoted mother of four, though an occasional unfaithful wife, is desperate for love. An unusual and passionate love between them blossoms despite the danger of persecution and nightly bombing raids. The Gestapo is on Felice's trail. Her friends flee, she decides to sit out the war with Lilly. One hot day in August 1944, the Gestapo is waiting in Lilly's flat... 0   6.3 20.0 Drama, History, Romance Deutsch"
An Affair of Love,"They recount their impressions to the Interviewer. They met through a magazine ad, She and He. They corresponded through the Internet. He responded to her ad seeking someone to fulfil her fantasy for ""a pornographic affair"". This is their first meeting in a Paris café. He's a little reticent. She wants to know whether or not he's hairy. (He is; he's Spanish.) They retire to a nearby hotel room. The door of the room closes. Unseen, the affair is consummated... They continue to see one another regularly each week. They find they get along well together. Soon she suggests that they try normal sex the next time... 0   6.5 11.0 Romance, Drama Français"
The Autumn Heart,"When a school bus driving woman (Tyne Daly) has a heart attack, she makes one request of her three daughters (Ally Sheedy, Marla Sucharetza, Marceline Hugo) - she wants them to find their long lost brother, who was taken away by their father (Jack Davidson) 16 years ago. What they discover is that while they have struggled, their father has become a wealthy man and their brother is in school at Harvard. 0 Sister Forever 0.0 0.0 Drama English"
Bless the Child,"When Maggie's sister Jenna saddles her with an autistic newborn named Cody she touches Maggie's heart and becomes the daughter she has always longed for. But six years later Jenna suddenly re-enters her life and, with her mysterious new husband, Eric Stark, abducts Cody. Despite the fact that Maggie has no legal rights to Cody, FBI agent John Travis, takes up her cause when he realizes that Cody shares the same birth date as several other recently missing children. 40000000 Mankind's last hope just turned six. 4.9 72.0 Drama, Horror, Thriller, Crime English"
Cecil B. Demented,"An insane independent film director and his renegade group of teenage film makers kidnap an A-list Hollywood actress and force her to star in their underground film. 10000000 Demented Forever! 6.2 51.0 Thriller, Comedy, Crime English"
The Eyes of Tammy Faye,"A documentary look, mostly through the eyes of Tammy Faye Bakker Messner, at her rise and fall as a popular televangelist with husband Jim Bakker. 0   7.0 1.0 Documentary, Drama English"
The Opportunists,"Vic is a struggling auto mechanic with a safe-cracking past and a lot of debt. His girlfriend runs a bar and offers to loan him the money she's saved for remodeling, but Vic is reluctant to take it. When a long-lost cousin from Ireland shows up on his doorstep, the two team up for one last heist. 0 When crime is all you know, you've got to take what you can. 5.5 2.0 Comedy, Crime, Drama, Romance "
The Replacements,"Maverick old-guard coach Jimmy McGinty is hired in the wake of a players' strike to help the Washington Sentinels advance to the playoffs. But that impossible dream hinges on whether his replacements can hunker down and do the job. So, McGinty dusts off his secret dossier of ex-players who never got a chance (or screwed up the one they were given) and knits together a bad-dream team of guys who just may give the Sentinels their title shot. 0 Throw the ball. Catch the girl. Keep it simple. 6.2 207.0 Comedy English"
About Adam,"A waitress falls for a handsome customer who seduces her, her two sisters, her brother, and her brother's girlfriend. 0 He came. He saw. He conquered. One sister at a time. 5.4 37.0 Comedy, Romance English"
The Cell,"A psychotherapist journeys inside a comatose serial killer in the hopes of saving his latest victim. 33000000 Enter The Mind Of A Killer 6.0 442.0 Horror, Science Fiction, Thriller English"
Godzilla 2000,"Godzilla saves Tokyo from a flying saucer that transforms into the beast Orga. 1000000 Get ready to crumble. 5.9 44.0 Adventure, Horror, Action, Science Fiction 日本語"
The Original Kings of Comedy,"The Original Kings of Comedy achieves the seemingly impossible task of capturing the rollicking and sly comedy routines of stand-up and sitcom vets Steve Harvey, D.L. Hughley, Cedric the Entertainer, and Bernie Mac and the magic of experiencing a live concert show. Director Spike Lee and his crew plant a multitude of cameras in a packed stadium and onstage (as well as backstage, as they follow the comedians) to catch the vivid immediacy of the show, which is as much about the audience as it is about the jokes. 0 We Got Jokes 6.5 16.0 Comedy English"
